Rank  ,Name ,Name,Rank,CoC Name,Rank-Number,Overall Homeless,PIT,Rank-HomelessPopulation,Rank-Rate,Rank-Rate (CoC Rates and Ranking),Rate,Rate of Homelessness,ValueToDisplay,ValueToDisplay CoC
116,MI-510,MI,38,Saginaw City & County CoC,284,313,"8,206",17,38,116,8.175339208,16.5,8,16.509222484
254,NJ-516,NJ,31,"Warren, Sussex, Hunterdon Counties CoC",283,314,"8,752",16,31,254,9.443285314,8.1,9,8.130544436
371,MI-503,MI,38,"St. Clair Shores, Warren/Macomb County CoC",299,272,"8,206",17,38,371,8.175339208,3.1,8,3.102218086
179,MO-600,MO,30,"Springfield/Greene, Christian, Webster Counties CoC",212,517,"5,992",22,30,179,9.711785897,12.0,10,11.964850648
326,OK-505,OK,32,Northeast Oklahoma CoC,295,281,"3,754",30,32,326,9.405633609,5.9,9,5.928482667
235,WV-500,WV,45,"Wheeling, Weirton Area CoC",359,122,"1,375",49,45,235,7.700811974,8.9,8,8.914414316
10,MA-500,MA,12,Boston CoC,19,"4,439","15,507",7,12,10,22.185533264,67.8,22,67.794176940
382,MS-501,MS,52,Mississippi Balance of State CoC,275,342,"1,196",50,52,382,4.054806336,1.8,4,1.811003275
218,FL-510,FL,22,"Jacksonville-Duval, Clay Counties CoC",103,"1,279","25,959",3,22,218,11.892485771,9.7,12,9.715264511
205,TN-510,TN,17,Murfreesboro/Rutherford County CoC,261,371,"10,567",12,17,205,15.164276312,10.5,15,10.534326002
130,MA-503,MA,12,Cape Cod Islands CoC,250,397,"15,507",7,12,130,22.185533264,14.8,22,14.813488110
151,NY-604,NY,6,"Yonkers, Mount Vernon/Westchester County CoC",98,"1,356","74,178",2,6,151,37.355170532,13.6,37,13.588604011
37,CA-603,CA,2,Santa Maria/Santa Barbara County CoC,63,"1,962","171,521",1,2,37,43.819083728,43.9,44,43.944229800
25,CA-614,CA,2,San Luis Obispo County CoC,92,"1,448","171,521",1,2,25,43.819083728,51.1,44,51.137346862
359,IL-515,IL,49,South Central Illinois CoC,346,157,"9,212",15,49,359,7.261279715,4.1,7,4.083681660
372,NJ-512,NJ,31,Salem County CoC,384,20,"8,752",16,31,372,9.443285314,3.1,9,3.074747102
239,UT-503,UT,26,Utah Balance of State CoC,109,"1,221","3,557",33,26,239,10.652529579,8.8,11,8.801255963
349,IL-512,IL,49,Bloomington/Central Illinois CoC,310,241,"9,212",15,49,349,7.261279715,4.7,7,4.709625223
223,FL-507,FL,22,"Orlando/Orange, Osceola, Seminole Counties CoC",56,"2,151","25,959",3,22,223,11.892485771,9.4,12,9.367973204
333,MD-600,MD,36,Prince George's County CoC,207,533,"5,349",25,36,333,8.662895308,5.6,9,5.579364099
280,WI-500,WI,40,Wisconsin Balance of State CoC,38,"3,049","4,775",26,40,280,8.120608813,7.2,8,7.247441290
327,PA-502,PA,29,"Upper Darby, Chester, Haverford/Delaware County CoC",280,335,"12,691",9,29,327,9.753260418,5.8,10,5.837772654
18,CA-613,CA,2,Imperial County CoC,126,"1,057","171,521",1,2,18,43.819083728,58.8,44,58.770871444
53,CA-521,CA,2,"Davis, Woodland/Yolo County CoC",160,746,"171,521",1,2,53,43.819083728,34.4,44,34.380098255
126,MA-507,MA,12,"Pittsfield/Berkshire, Franklin, Hampshire Counties CoC",206,542,"15,507",7,12,126,22.185533264,15.0,22,15.003709404
367,NJ-501,NJ,31,Bergen County CoC,287,306,"8,752",16,31,367,9.443285314,3.2,9,3.208155845
45,CA-526,CA,2,"Amador, Calaveras, Mariposa, Tuolumne Counties CoC",183,625,"171,521",1,2,45,43.819083728,39.0,44,38.956101149
206,NY-603,NY,6,"Nassau, Suffolk Counties CoC",39,"3,034","74,178",2,6,206,37.355170532,10.4,37,10.400202108
73,CA-518,CA,2,Vallejo/Solano County CoC,115,"1,179","171,521",1,2,73,43.819083728,26.1,44,26.100470207
185,FL-514,FL,22,Ocala/Marion County CoC,232,455,"25,959",3,22,185,11.892485771,11.8,12,11.790161046
268,VA-503,VA,47,Virginia Beach CoC,268,352,"6,529",21,47,268,7.541555658,7.7,8,7.691097555
209,FL-501,FL,22,Tampa/Hillsborough County CoC,90,"1,513","25,959",3,22,209,11.892485771,10.2,12,10.235463004
52,CA-514,CA,2,Fresno City & County/Madera County CoC,23,"4,216","171,521",1,2,52,43.819083728,35.9,44,35.942304758
300,OH-507,OH,33,Ohio Balance of State CoC,24,"4,075","10,654",11,33,300,9.056180108,6.5,9,6.489042595
351,PA-503,PA,29,"Wilkes-Barre, Hazleton/Luzerne County CoC",348,150,"12,691",9,29,351,9.753260418,4.6,10,4.600479063
125,CA-609,CA,2,San Bernardino City & County CoC,30,"3,333","171,521",1,2,125,43.819083728,15.2,44,15.186516670
253,NY-518,NY,6,"Utica, Rome/Oneida, Madison Counties CoC",308,244,"74,178",2,6,253,37.355170532,8.2,37,8.189788274
34,NH-501,NH,23,Manchester CoC,214,513,"1,605",45,23,34,11.567525883,44.4,12,44.430202144
14,CA-524,CA,2,Yuba City & County/Sutter County CoC,122,"1,094","171,521",1,2,14,43.819083728,60.0,44,59.950461410
63,CA-511,CA,2,Stockton/San Joaquin County CoC,48,"2,319","171,521",1,2,63,43.819083728,29.4,44,29.376369694
182,MN-505,MN,20,St. Cloud/Central Minnesota CoC,141,916,"7,917",18,20,182,13.861577867,11.8,14,11.847391117
104,NY-507,NY,6,Schenectady City & County CoC,292,289,"74,178",2,6,104,37.355170532,18.3,37,18.280841804
180,TX-600,TX,37,"Dallas City & County, Irving CoC",22,"4,410","24,432",5,37,180,8.265540922,11.9,8,11.933393803
261,VA-600,VA,47,Arlington County CoC,339,182,"6,529",21,47,261,7.541555658,7.8,8,7.812332325
